"Taxa","ClimateZone","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxa607","Am","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"Taxa608","Dwc","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa609","BSk","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa609","Csb","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa610","Cwb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa611","Dwc","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Ellin5301","g__","s__"
"Taxa612","BSh","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa612","Dwc","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa613","BSk","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Geodermatophilaceae","g__","s__"
"Taxa614","Cfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"Taxa615","BSk","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Paenibacillus","s__"
"Taxa616","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes",""
"Taxa619","Dfc","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin517","g__","s__"
"Taxa62","Am","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","",""
"Taxa62","BSh","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","",""
"Taxa620","Dwc","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__N1423WL","f__","g__","s__"
"Taxa626","Dwb","k__Bacteria","p__Armatimonadetes","c__[Fimbriimonadia]","o__[Fimbriimonadales]","f__[Fimbriimonadaceae]","g__Fimbriimonas","s__"
"Taxa627","Dwc","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa628","Dwb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__Pirellula","s__"
"Taxa629","Dfc","k__Bacteria","p__Acidobacteria","c__RB25","o__","f__","g__","s__"
"Taxa63","Cfa","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa63","Dfb","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa631","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","","","",""
"Taxa635","Cfa","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__H39","f__","g__","s__"
"Taxa635","EF","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__H39","f__","g__","s__"
"Taxa637","Am","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__"
"Taxa637","Dfa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__"
"Taxa638","Cwb","k__Bacteria","p__Armatimonadetes","c__[Fimbriimonadia]","o__[Fimbriimonadales]","f__[Fimbriimonadaceae]","g__Fimbriimonas","s__"
"Taxa639","Am","k__Bacteria","p__Chloroflexi","c__Chloroflexi","o__[Roseiflexales]","f__[Kouleothrixaceae]","g__","s__"
"Taxa640","Af","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","g__Nocardioides","s__"
"Taxa641","BSk","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium","s__"
"Taxa642","Cfa","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa646","BWk","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","g__","s__"
"Taxa65","Csb","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa650","Cfb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa651","Csb","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__","s__"
"Taxa652","Am","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","",""
"Taxa652","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","",""
"Taxa68","Csb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__MIZ46","f__","g__","s__"
"Taxa69","Af","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa70","Cfa","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","","",""
"Taxa71","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__"
"Taxa73","BSk","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa73","Cwb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa73","Dwb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa76","Am","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"Taxa76","Dwc","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"Taxa77","BSk","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Saprospiraceae","g__","s__"
"Taxa81","BSk","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"Taxa83","Aw","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa84","Aw","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__FAC88","f__","g__","s__"
"Taxa88","Af","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"Taxa89","Dfb","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa9","Cfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa9","Csb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa90","Csb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__"
"Taxa91","EF","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Adhaeribacter","s__"
"Taxa92","Am","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__"
"Taxa92","BSk","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__"
"Taxa92","Cfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__"
"Taxa92","Csa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__"
"Taxa93","Csb","k__Bacteria","p__Proteobacteria","c__Zetaproteobacteria","o__Mariprofundales","f__Mariprofundaceae","g__","s__"
"Taxa97","Dfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa99","BSk","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
